Protein_ID 	BC.1	BC.2	BC.3	BC.4	BC.5	BC.6	BC.7	BC.8	BC.9	BC.10	BC.11	BC.12	BC.13	BC.14	BC.15	BC.16	BC.17	BC.18	BC.19	BC.20	BC.21	BC.22	BC.23	BC.24	BC.25	BC.26	BC.27	BC.28	BC.29	BC.30	BC.31	BC.32	BC.33	BC.34	BC.35	BC.36	BC.37	BC.38	BC.39	BC.40	BC.41	BC.42	BC.43	BC.44	BC.45	BC.46	BC.47	BC.48	BC.49	BC.50	BC.51	BC.52	BC.53	BC.54	BC.55	BC.56	BC.57	BC.58	BC.59	BC.60	BC.61	BC.62	BC.63	BC.64	BC.65	BC.66	BC.67	BC.68	BC.69	BC.70	BC.71	BC.72	BC.73	BC.74	BC.75	BC.76	BC.77	BC.78	BC.79	BC.80	BC.81	BC.82	BC.83	BC.84	BC.85	BC.86	BC.87	BC.88	BC.89	BC.90	BC.91	BC.92	BC.93	BC.94	BC.95	BC.96	BC.97	BC.98	BC.99	BC.100	BC.101	BC.102	BC.103	BC.104	BC.105	BC.106	BC.107	BC.108	BC.109	BC.110	BC.111	BC.112	BC.113	BC.114	BC.115	BC.116	BC.117	BC.118	BC.119	BC.120	BC.121	BC.122	BC.123	BC.124	BC.125	BC.126	BC.127	BC.128	BC.129	BC.130	BC.131	BC.132	BC.133	BC.134	BC.135	BC.136	BC.137	BC.138	BC.139	BC.140
A1BG	1047640000	1113700000	1055760000	1104000000	1158380000	978263000	759760000	939420000	1006398000	655080000	1755400000	1523440000	967317500.6	899103269	596621465.4	601299465.1	885948841.9	1103502367	712185147.8	724053041.6	677131542.3	1184243920	775071196.3	780975470	714478361.7	673601967.3	675606203.6	955750838.4	898821038.5	1080086575	713681159	749117599.5	1210774778	1128202161	736968204.7	797729732.4	773956161	736188770.1	1014381913	798350272.2	924109255.1	1113670242	791425207.4	1218470046	849877696	1160373980	838406639.6	802711481.2	817200583.9	1058397097	1001799461	915762715.5	981983163.5	1118243831	1229011139	1178323098	1126809041	1143727398	863006378.9	842405325.7	1069354223	888709385.7	919061360.1	900610724.7	971685639.7	948288597	889887623.5	891470176.1	857632036	1121679891	865570226.8	1072208225	1029056235	881237958.2	869746781.3	922617068.9	875874393.3	911182181.4	855112491.3	887388110.8	1118020804	1113342460	1066994086	905997690.4	1011177693	876589630.3	918102359.7	912582451.6	901678731.4	922837349.6	899666276.1	1098378025	874930554	916650889.5	1031791979	977670283.8	1008173970	916486142	880916920.2	886356489	896720424.4	898942370.7	1074710215	1101375175	921796574	995614664.1	935681507.3	912569307.9	974035892	918758457.6	888952161.4	893925533	885876079.2	1059441639	911880579.5	1065026088	960813670.4	947559660.2	911246611.4	949795215.7	944118288.2	919103987.9	894515377.4	897631893.5	1063212915	1038596938	1045352508	997625286.1	907481038.5	930642821.2	933157708.3	900580295.3	919960675.3	919723062.7	898434465.5	1060922056	921174519.9	903493791.1	944514396.6	987274782.7
A2M	13043140000	6184000000	6564800000	4329400000	9797400000	12651100000	9010200000	7115400000	4890780000	5950800000	11509000000	7165000000	10886812502	7244674038	5770682693	7461496025	11500671028	12282641611	6622802725	7471565882	6976580883	8647109453	8166332182	9764141964	8669999899	7279931282	8066033076	10477017461	7364069293	12268902096	7646487665	7320088964	8511100817	7371971595	8503144614	8045128605	8371447993	7805050591	9450620073	10214403966	12084112308	11921324000	7735365760	8607569578	8582755399	8600113178	7951546887	7829595287	8076471622	9167202831	8318328633	9439229236	7768265132	11794506540	8558269865	7726738477	7719725188	8351238222	7835805708	7962797419	8810766900	8586790727	8872508652	9440364225	11821750346	11093687785	8738016389	7925909206	8550512088	8443583930	8062506449	8785272835	8173056880	8237866798	8523865500	10344967455	8722977923	10360042116	8846678819	8669454355	8159587168	8435056591	8781392783	8679550379	8139432629	8361383882	9899812702	9721632484	9755138845	9649831928	8330508244	8665098488	8436242759	8510071564	8269262204	8708609576	8396069306	9714835028	8370284681	8227410624	8299546244	9514605653	8542806760	8440320693	8287494305	8455177992	8655987790	8533286738	9542406082	9580289475	8390836369	8321385086	9464952944	9232445165	8371656891	8422888395	8439063163	8473622469	8397215500	9284664893	8321838270	9473721068	8363468862	9438150081	8536312323	9166452880	8363727764	8329074425	8347585328	8389700893	9201331063	9283482716	9479833034	9446863214	9419577691	9254694830	8989628790	9166812915	8404557987	8388664856
AAMDC	35395800	58690000	9091800	41908000	39804000	19173437.37	44968000	42036000	74101500	50002000	95332995.29	32208000	53382101.35	72226284.38	41531224.39	27268996.13	28754348.85	31481736.51	28174890.42	33213047.55	29551398.39	49889274.54	59816529.63	49110377.21	43000937.53	37560290.42	45457490.07	33208843.72	34503927.37	35177433.07	37018973.12	35804985.52	52595641.38	42801316.69	43872194.11	39581369.81	39082285.01	41685880.78	46245150.48	35605654.34	35016453.67	36200914.74	35617208.78	51222107.55	44607384.75	36101588.1	39344815.45	35644369.63	37759278.5	39768086.34	45939499.65	36097820.67	36704412.03	36126005.07	51158008.84	42451556.15	44460751.52	39347405.58	39860542.44	38337724.35	38266872.2	42462408.16	46232214.31	37153342.8	37134636.5	51597130.35	45499339.2	38932027.91	42065726.16	37539623	38556634.96	37126117.01	41251785.29	40883527.81	46243537.74	37304423.27	51748458.38	43571578.28	44119276.47	40768793.01	42200369.89	38747155.96	39173064.79	41885449.73	38177154.46	43173238.79	46814670.41	52422337.22	46319321.17	38782013.47	41590884.66	39708796.11	41745994.25	38755820.11	41046827.48	42071288.6	43397706.59	42094559.06	44097952.62	44649943.82	46145266.95	41491456.25	40592212.02	40765593.93	41738158.87	41067469.43	39822536.78	40134067.82	40123079.27	40835280.45	39402091.02	40350395.64	43522234.91	39808852.07	39090877.96	39891568.54	39598077.38	40178052.79	39255201.61	38957277.01	39658581.28	40385455.28	39912318.15	42143562.19	42710685.78	39744983.68	39833398.5	39332503.63	39621280.87	39968652.43	39350824.82	39756478.63	39787361.4	39539089.63	41300727.68	39653134.7	42055883.58	39200243.47	39613364.26	39404850.11
AARS1	77138600	96508000	46406000	17550000	56650000	26193200	60192000	40294000	68925600	81374000	8444988.539	43628000	58527313.4	77839347.3	43059258.42	49143122.39	35327999.26	37364468.99	41378581.39	37334211.76	47381263.42	69408622.14	52193103.95	52570652.45	48957977.22	45431913.57	43021894.33	50978480.18	39693225.28	41741090.57	41905152.18	48038296.61	60332576.63	56188228.67	39856599.14	43102512.65	43116253.73	42095507.87	47705496.88	51238179.39	42282922.21	40449066.3	46422055.85	52725821.22	44855305.93	57134682.46	44404003.43	41240892.74	42248183.88	46858258.03	44893152.05	50384993.98	43435810.07	47609544.13	48050931.86	49732294.55	54281702.33	54948430.47	45600357.88	43498150.04	47117721.7	44548327.98	48106759.79	49651272.86	46984404.9	43316269.5	44562932.31	47456071.88	43640295.7	52331302.07	45218982.14	46765954.05	45766048.44	46790283.21	44824451.79	45967399.85	47003758.18	44629923.31	46292383.25	47251641.34	52174569.75	50703178.41	45224566.7	44696138.41	44732371.37	45686017.6	44885992.99	44792540.42	46141794.03	45457091.08	44772361.22	48746572.36	45348545.9	49371587.11	44479687.29	43993054.32	44910845.09	44767054.73	44068646.28	45325391.17	44674333.21	44681139.25	47977333.95	47439733.24	48097421.93	49004594.49	44645478.07	45081183.73	44315681.46	44871618.66	45436304.43	44841939.37	44203500.52	47492949.14	44763269.45	44888032.12	45143185.86	48602882.9	44716414.18	45049872.09	44846686.31	44860029.31	44894337.26	44943243.2	47599401.99	47065948.16	44482695.5	44614068.91	47820605.91	48274196.34	44751081.78	44623355.09	44435051.62	44456116.89	44470970.91	47078585.81	44975411.69	47029104.1	44595944.29	47672052.73
AASDHPPT	1322772	9252077.742	3913600	1687937.466	5560375.423	2600620	3940131.499	6381148.491	4858208.434	4889800	1085500.651	4266000	9193808.809	7624888.058	3717514.138	4615088.018	3215872.374	3218488.097	4066760.072	4301724.443	3625613.794	4912938.862	4687503.167	7162595.866	4378849.971	4740483.201	4324843.07	4859726.346	3513099.585	4358845.297	3773814.34	4222539.33	4854883.893	3832003.091	6088292.895	6467658.522	4122874.795	4186654.901	4316836.76	5142293.579	4675080.073	4434992.038	4312616.265	4506670.373	4911579.504	6167716.364	4339844.21	6313331.562	4081179.65	4148882.871	4846762.295	4504703.302	4286563.312	4173380.703	4247325.529	4461708.29	5320167.976	5913938.101	6091071.608	6383181.485	4255937.289	4887222.719	4542659.3	4424169.323	4322620.664	4285123.991	4426682.552	5073958.29	4821894.385	4413862.471	4531369.724	6370616.17	4904204.831	4626129.727	4404712.945	4389351.303	4326635.604	4431184.307	4938717.021	4551697.777	4710817.156	4425329.474	6148503.379	5797825.018	4626947.56	4573560.278	4370079.956	4417610.516	4460156.342	4864314.528	4749441.081	4525793.705	4653891.951	6094646.194	4740484.071	5564373.201	4459080.718	4609723.921	4455850.704	4451345.999	4813384.204	4528100.584	4638001.017	4544622.917	5858511.988	5785638.923	5268142.923	5557244.508	4612830.498	4617442.297	4469472.769	4827046.533	4753524.992	4580666.098	4565107.979	5786429.713	4556741.531	5001986.8	4777978.64	5435719.422	4503788.145	4647183.856	4858001.395	4576855.904	4676786.386	4520868.319	5726756.485	5744737.52	4969902.992	4752116.818	5187573.344	5466783.386	4685308.833	4753808.518	4825710.16	4646577.381	4703299.97	5754406.976	4575239.221	5332221.386
AASS	21497740	3165600	4620000	5226863.272	9672200	3109370	4359200	2553348.985	3520800	6243000	2907942.928	3941162.459	16689237.53	6441555.368	3922545.151	5862009.598	5787659.733	4543558.663	4835334.809	4007256.831	5798798.377	5735373.098	4660251.969	13321676.55	11379376.5	5192682.086	6774623.373	4981339.988	6153747.101	5244321.583	5790349.754	6780524.422	5108394.587	6122011.937	13739940.7	7268281.069	11566631.62	7129083.239	7382056.777	6807160.899	6573490.347	6232273.506	6689421.316	7394402.688	6773894.27	13400726.88	12420070.77	10384452.09	10613202.53	6519187.966	6846170.124	6516216.93	6628257.124	6750625.813	7006925.562	6935269.897	12952677.65	7422758.213	8494629.907	6722262.747	10591341.2	6891421.944	6899667.161	6686991.329	6699070.549	6834884.046	6654123.428	12600942.43	12201950.24	7824043.511	8539852.622	10661524.46	10546105.63	6905113.881	7109656.011	6911894.984	7035788.259	7082499.059	12850877.47	7378324.206	11362228.16	7754176.646	9168769.946	7188078.312	10715026.86	7321410.827	7317008.289	7245413.518	7169638.992	12891828.99	12660101.65	11231586.33	10899040.37	8744376.31	9325524.935	10892628.92	10796038.35	7441809.175	7509046.364	7513949.237	13161124.9	7727315.099	8926375.626	7844274.593	9669591.308	8116595.335	9108034.131	7652165.848	10910700.28	7654479.601	7592756.561	13235071.14	13072131.14	8885465.9	8779025.439	9531649.473	9275065.638	8726780.863	9199613.402	11014511.75	11039355.19	7871767.08	13452866.95	8019362.417	12044403.53	7997670.272	8644698.972	8154584.524	8448290.364	8377087.969	9722791.915	7946590.419	11089524.64	13526849.18	13420908.47	12052689.25	12103980.68	8733812.359	8581587.199	8388704.264
ABAT	16151960	8644211.947	4325548.599	7219093.291	8832000	5338960	8636800	7694600	29386800	8185200	3247547.334	7680400	11443555.48	10501435.12	6442636.824	5898768.431	5580318.905	5703659.69	5669293.427	12259685.07	12366225.64	8367048.28	8226869.548	9895644.126	6892757.344	6848119.759	6855142.517	6649866.576	6466131.21	6381409.755	12938583.42	6667322.938	10563290.82	6825477.722	8358197.218	9739986.785	6865152.335	6828743.908	7027181.988	7010904.74	6916484.322	13391000.16	13261215.4	11031761.92	10962154.98	8840121.753	8722513.004	10244955.92	7466423.458	7629196.043	7451004.059	7529466.346	13911380.26	7688807.182	9790880.284	7671568.339	9725238.512	7758041.775	9164904.354	10446796.25	7877346.446	7895434.108	7798578.58	14103272.97	14043654.71	10018883.22	10067973.39	10033961.43	9977690.675	9445865.232	9340993.689	10646604.83	8130930.543	8209946.138	14419096.5	8258080.374	12224019.73	8300606.512	8286157.702	8308846.99	8785105.305	8364716.891	9566735.991	10792527.82	8385818.691	14516880.46	14540950.73	12416686.08	12419230.67	8554347.951	8562748.986	9016567.14	8965874.328	9752024.651	9788585.814	10982404.69	14731830.73	8688043.539	10788484.42	8688220.718	12550585.89	8732368.783	9177868.456	8779148.908	9515094.196	8772991.845	9930594.983	12497357.3	14826439.39	10938537.33	10957456.79	12738477.09	12728817.59	9389887.944	9347016.058	9687708.458	9700210.485	10122053.24	11541024.15	11324911.35	12903142.89	9066290.12	10828546.78	9071665.084	12401014.51	9131666.801	9429827.726	9104319.826	9513758.411	10514155.9	9322213.629	10685981.35	12956561.1	10910811.2	10918588.86	12504068.43	12468549.94	9521225.545	9550733.363	9637005.528
ABCC4	2294820	1917313.735	3463000	3200134.601	5298370.284	2883320	6473000	4163600	9508860	17303600	666764.7174	3097400	3873876.216	4916219.062	2691272.417	3617719.195	2662156.83	3251117.575	3824701.714	4170774.223	7932777.236	11365474.47	4640488.607	4511893.988	4215984.363	4135091.318	4497878.251	4561305.825	4228832.133	4233763.987	4025372.247	7452464.481	7240724.575	10637029.67	4238435.216	4409424.159	4202627.462	4486707.444	4196895.302	4467567.586	4148337.743	4351917.819	7575581.705	4439927.545	7629306.676	10707064.97	4618562.325	4658007.969	4739599.743	4751129.19	4737785.832	4791650.42	4682139.928	7706063.283	7677753.959	7788487.917	7733823.163	10798559.05	4854479.019	4897293.664	4828591.242	4830594.149	4871330.625	4927831.447	7843956.864	4894863.338	4977716.965	4923300.431	7934176.9	10857933.35	5041586.132	5068076.881	5002331.598	5041092.585	5057407.468	7917784.03	7989124.912	5161183.54	5133808.737	8090956.068	8041474.738	10970157.23	5251234.5	5290808.157	5264606.591	5242616.474	8086869.194	5330710.063	8088122.588	5319329.332	8249407.408	5374236.153	8253976.534	11075703.99	5457197.161	5444241.603	5440303.11	8262791.086	8203723.068	8232813.909	8271771.315	8460467.3	8434289.414	8466770.167	8436449.681	11260098.75	5707554.848	5698658.856	8517246.117	5779719.219	5750279.065	5760407.678	5910494.197	5749645.875	5756178.4	5754300.546	8547891.832	11300916.54	5804326.651	8614091.365	8556521.795	5871057.968	5851987.758	5992027.935	6004000.258	5850971.17	5846368.349	8638095.271	8619356.191	11384258.83	8739718.947	6008971.069	8637302.73	5991099.326	6112211.682	5985181.092	6126325.965	5979016.627	8766175.378	6013270.608
ABCE1	11010120	12359800	2843400	1423473.943	7971200	6315632.616	10508600	6834400	16291530	3095600	6871893.748	6037600	7482071.939	12992028.83	4952989.73	7564218.513	6250858.677	5085444.849	6462427.658	7338714.823	9338953.517	6954620.937	5569446.971	7139683.622	8925795.203	9107781.783	8153280.352	6952121.555	6851082.544	7102836.883	6648041.835	7800259.183	8246862.819	7319954.748	7545759.388	7806496.468	6251986.693	7029419.5	7301196.455	6231874.939	6385116.428	6594297.115	7302548.714	6623729.922	7114185.162	6433679.088	6473520.579	7772839.913	7028149.784	6538359.36	7341340.169	6446226.593	6505112.933	7008130.167	6991813.859	6815791.853	7014601.432	6385875.176	7646040.65	7113432.736	6870945.181	7192164.236	7297249.199	6475229.618	6920280.907	6441318.438	6601271.453	6626686.023	7059526.807	7700077.005	6990522.75	6707903.503	6790003.183	6578269.129	7296624.304	6930615.608	6970383.213	6657593.716	6525106.046	6932853.721	7145974.21	7222885.584	6804604.197	6607489.49	6738101.397	7247213.015	6903220.074	6581185.766	6854659.749	6677872.176	6954604.553	6764457.784	6630565.347	6972762.102	6756045.549	6691617.467	7071478.059	6911607.506	6893159.355	6847851.589	6753900.155	6855595.091	6771722.792	6717314.374	6926906.371	6804684.892	6654441.064	6970475.47	6754002.944	6614047.15	6641074.51	6690126.281	6698708.739	6681785.96	6653057.873	6808714.43	6723150.914	6752217.747	6919281.824	6822375.415	6747662.809	6635890.946	6658136.933	6618066.384	6626475.933	6638416.598	6765573.166	6696705.64	6640877.483	6779099.948	6710227.527	6688773.378	6726398.737	6637713.181	6655703.79	6624339.583	6627932.546	6743235.533	6685868.019	6673324.034
ABCF1	24670800	8326600	7310400	6473600	7818800	11590589.26	14619000	12301000	27685800	10350600	15747830.86	11527600	20481380.58	11481019.17	7600605.952	7882698.91	13879638.3	10869387.86	8980289.98	11985788.14	13166166.31	11027921.94	10562087.93	16434166.87	14872727.78	9165901.259	9396641.615	15121933.72	12349424.28	11332071.77	12511443.69	10783273.8	11778027.98	10170412.01	15590360.17	11447491.44	15636254.73	10314405.08	15815031.04	13009047.79	11323204.91	11510037.03	12086916.29	11393689.64	12029160.39	15877214.92	14717963.77	14852001.57	16072357.16	16359738.87	13775111.56	12709988.91	11243398.85	11636970.87	11764001.65	11718849.4	14942782.44	12321487.04	11316261.24	12404850.38	11492216.28	13794172.04	12316356.2	12734729.43	11684627.51	11424141.04	11344187.27	14523640.83	13968416.01	12390334.95	12488059.39	12327435.88	13729434.15	12936826.55	11897355.08	12534661.57	11758863.7	11581713.82	14682239.81	12098256.01	13128053.32	11667178.59	11731269.52	12974578.95	12381879.5	12638067.52	12247990.01	12393806.26	11803974.48	14729339.88	14247249.97	12721457.65	13163729.39	11782653.38	12962554.17	12325031.01	11994693.83	12131224.21	11890943.52	12336431.69	14677864.86	12263552.19	13311981.69	12243273.93	13186331.45	12998308.44	12467062.59	12165834.42	11975086.47	12080089.22	12287481.3	14187438.74	14281225.56	12936706.77	12966182.52	12849824.69	12102920.39	12447750	12222234.7	12114285.64	12030130.11	12133387.13	13827653.15	12036928.65	13288417.47	11984130.1	12071246.17	12702708.54	12306469.42	12189828.01	12073996.61	12051027.06	12070766.15	13662550.9	13771654.37	13245682.25	13307683.82	12100032.37	12645010.21	12414329.49
ABHD10	130757000	73930000	110602000	52494000	91048000	40745100	76814000	45762000	117571500	83778000	26929000	47870000	89284314.99	85676002.97	69145053	61304982.91	51715797.37	45097796.68	59333686.81	65288842.09	47314043.66	74161398.59	57499424.09	83072036.52	51372532.09	61090929.03	57365887.39	59405374.54	56776661.78	64622756.62	56816552.9	69028296.07	78462568.29	69090740.92	78491440	85348973.89	64248411.19	58517714.29	56930187.63	57571707.45	62854808.11	63006284.02	67597686.93	65104208.42	65256180.23	65493313.4	63154512.42	77543444.15	62613175.35	58586957.58	57672701.43	62326860.66	57296834.39	61739619.08	59726721.17	57430550.25	57518425.42	59624253.27	71714709.42	72499924.54	61844712.7	58798754.29	62553403.84	63003145.72	62494499	60132962.28	60446734.06	58272709.35	60291954.46	70307100.96	59174581.68	69055636.92	61594373.55	62344789.65	59090620.78	59155522.11	61015105.05	58998009.22	60862285.05	60735024.45	68756167.27	69997182.29	68881482.22	66580737.94	59958715.83	62471296.73	59319868.61	61115296.06	61293940.86	61163784.58	59447483.67	67342763.76	60649822.97	60537852.09	61734765.71	66080261.24	62039800.09	62704549.79	61380706.92	59782059.76	59735357.71	61322790.87	67518597.24	66392910.08	59876295.86	60962304.89	64122178.85	63857755.96	60519456.54	61184648.19	61471487.62	59933944.62	61475092.83	66097513.55	61081744.05	66482459.14	61108032.21	63191178.95	60322506.73	63398605.03	60753316.72	60380461.88	61633516.73	61649622.07	64743323.64	65173651.08	65598405.13	65614641.49	62365349.56	63167023.1	63396516.33	62989187.59	60736794.4	61619797.7	60392199.44	63469914.74	60829288.68	60826856.3	60421416.57	63654588.71
ABHD11	59657400	24352000	20274000	10254252.78	40010000	13245100	17872000	21986000	86913000	35258000	8008160.484	34974000	44641778.47	27012737.21	21125008.75	31326998.02	25342994.1	20952463.44	20076964.02	39325224.45	33749078.54	33506376.01	33983693.67	33361170.49	33351106.19	25185035.37	32390374.96	28550239.21	27170481.57	23806847.33	42208794.03	29157588.28	23998400.13	24240369.79	24399614.19	23804941.62	31961228.67	31221200.27	28045611.91	25683698.22	27702069.32	42822419.08	37909823.37	30321320.08	25521356.49	25444008.28	25882898.37	33457164.43	26210829.45	28661491.58	27911329.32	27614098.25	40754893.75	30832427	33599310.03	30948741.68	26311840.49	26674739.31	33817683.28	33618127.86	28943228.39	27282902.93	26842071.27	39690352.07	36677350.95	29674419.08	29600027.5	31625920.2	27420108.13	34205411.82	27364066.17	31842220.29	28892576.17	27695826.32	40109234.2	30445263.09	34474839.76	27637245.81	29589700.92	31795263.77	34427329.32	34567138.87	32287379.71	30812822.51	29095043.53	40325779.38	37720687.15	32197371.23	35051180.42	30242867.45	30517669.63	30968408.73	28504762.45	30646215.1	29865266.34	30124009.4	39654861.32	31144996.87	34089804.09	31476087.45	33459130.22	28973225.89	29151857.03	31169139.98	30870635.8	29530526.36	29015688.22	38290214.08	37357477.36	31870490.94	31566171.98	30959044.57	33479612.63	29212037.16	31052256.17	29351018.72	30395197.5	29581379.9	38345431.81	30081578.67	34643601.93	29506280.78	29811583.76	31729960.03	33497295.4	31104078.83	30979702.6	30336039.18	30113835.87	38070377.72	37637596.73	33998848.19	34608708	29815315.67	31430667.6	31293836.46	31932713.26	29681341.36	30201529.93	29784700.38
ABHD14B	683958000	412200000	472700000	405020000	779080000	522291000	837680000	617300000	654372000	865680000	431800000	699000000	630721251.6	531002403.5	359752317.3	515198315	425127692.7	400843573.6	458173019.8	420072491.7	547576994.3	583107466.4	509628379	452817907	451273840.8	393204492.2	543120958.1	483502839.3	420933145.2	454815854.8	437497919.3	528130941.4	440141428.2	479166723.4	464659258.9	411016008.9	467584182.6	561000739.6	474647564.8	479127808.7	452005067.5	436266700.4	509994119.9	509458353.9	462493898.8	438843296.3	478294462.3	482360730.6	520387618.9	515230695.3	435084828.8	457815173.7	446952391.2	505238393	433412062.9	479850492.6	457375291.8	473590777.5	438886072.8	472915612.2	440679429.4	515752911.1	459630065.8	448123302.1	495716253.2	510153287.8	485853666.4	462583547.7	456654350.6	475378576.1	475199193	473885125	517170149.8	499247915.9	455390251.8	491629862.1	459100169.4	469150249.7	468432281	451385917.7	464255061.3	445941382	447078254.5	489065042.9	464217550.6	490363830	483255749.8	479962378.8	457852422.4	448633232.9	464969605.2	460979707.8	466564125.9	449584240.1	490446250.9	473748920.3	475306536	456537885.6	452795708.1	471645559.4	458975892.5	466184354.1	453998040	455631297.4	467080461.6	491124299.3	467345110.4	452361445	469586902.3	454732618.7	469874312.6	463863946.3	458515863.2	463557507.3	453111348.2	462941457.1	475634830.6	475575684.2	466981679.6	469349384.3	467121756.4	467531929.1	458524714	457911295.4	457647986.2	463092834.3	462559690.3	465500357	452965297	461500613.7	455340421.7	455218418.9	453417839.6	462017966	453691387.5	453345822	458529297	453657336.3	456068722.5	465684271.5
ABI1	44272800	5836200	28044000	21432000	58678000	15827900	35056029.13	34728000	131095800	28810000	9780191.085	30080000	51970003.43	44802296.19	22863434.31	38400832.49	35891772.71	24960197.6	22159587.56	53194202.71	57712708.06	34704751.85	35772249.12	45670311.35	31659060.4	34076489.94	42878540.81	30425660.15	38937785.87	31183770.54	59511132.16	33996136.07	52626792.52	31383542.41	40245505.27	44641493.78	33436875.14	39886831.47	43769295.94	40147843.9	39602537.99	60365003.59	58227103.52	51936132.23	54972153.2	43062935.7	38789613.81	45691774.32	41170543.01	38734682.07	38551319.55	35546181.94	55773830.06	37541007.29	41733669.94	38593100.15	47520512.59	40093549.27	42796066.79	40532122.41	38522106.48	36309540	39134272.81	56404481.98	54725716.83	40966059.81	39977492.75	45811208.57	44442046.29	39825236.79	39425271.46	39203229.19	39433696.99	40076172.03	54559822.13	39198646	51301628.17	38709233.84	43567057.11	39176347.48	42441109.72	38281262.78	38108217.4	38119318.1	38534069.07	52382801.41	53428744.46	50347113.45	50974061.56	43380976.62	42967839.57	41890141.1	42820712.96	38878640.59	38718536.83	39122303.91	52560606.79	39900586.7	41946947.9	39523392.27	46495799.27	39391029.78	40059641.69	39922978	42943426.73	39199001.32	39444175.11	52482483.27	51828631.38	41331118.24	41726916.33	46297600.75	46492218.04	40118933.88	39592850.75	42477823.9	43227839.5	39760591.18	52555804.41	40280912.62	50130023.57	40115063.92	44293194.92	39954287.43	46134524.34	40338309.01	42701374.58	40589133.04	43312225.61	52667067.06	52245172.44	49913091.22	50153556.05	44392026.66	44583983.94	46457452.54	46118874.87	42728032.58	42494332.58	43120379.19
ABI3BP	2268420	329480000	86976000	451500000	254800000	66480700	71192000	183630000	67581000	160619643.1	32331000	176274000	365550781.4	320754913.7	283507470.7	211746266.7	186506144.1	148323142.7	181081199.5	194606092.4	186440165.8	197937036.4	208679867.9	295401081.1	176183288.1	217184792.8	221954785.9	178091525.4	191935838	187827547.6	169686319.7	164763640	168349769.5	167944120	244238468.8	279212794.5	204308114	169184750.4	208403544.7	179509295	170119380.8	184252520.2	171465906.3	170243836.9	167144859.9	243042572.5	203381123.8	244055611.6	205834810.5	210647043.4	201106875.8	182169093.5	187092894.4	186013031.5	174685276.3	176584403.3	249438479	214533752.2	216230610.5	214466320.8	181694766.6	186501590.2	196053078.9	182339696.9	178572693.4	188837198.7	179580203.4	250563496.1	213685532.4	180983529	181075201.2	212107314.3	184597744.7	189408256.6	193699224.4	183935690.7	190482758.6	189608553.5	251453531.6	218246723.7	214531738.9	182325135.7	213266694.9	210118031.5	187746469.1	187283519.2	192805980.3	189701738.7	184103274.5	245083869.1	217132866.8	188005953.1	216537952.3	215619215	188155485.2	207411527.6	185735952.5	190800236.3	188438368.6	190963947.1	246402063.1	213976237.7	215426179.4	215114049.7	187775134.4	214328876.2	206380281.3	208979776.4	192569185.3	189913230.5	190098412.9	243033702.4	220516396.3	189827466.3	188702373.2	215731872.5	215182380.1	196804187.7	191522449.1	205355389.3	191737508.2	189288685.8	242040311.6	212052695.3	220405911.1	191087585.2	217000921.1	190733744.5	208566737.7	195612750.3	204204580.8	204095116.2	193029223.6	243350438.4	220980099	199567828.4	220594359.7	217403371.3	217944990.6	209699779
ABRACL	137187600	151464000	102164000	36365670.33	71434000	26067167.79	104158000	78032000	259931700	67066000	6066800	62742000	85320083.33	103777235	79194704.63	66022980.42	61604276.73	78673309	64931489.96	109811013.6	118156768.1	88905888.42	88130236.11	86533759.19	74392350.17	72589653.52	76136492.77	67871313.22	80679453.47	77940826.39	109536593.9	74450549.35	95616480.77	68027642.56	68871280.56	79461825.75	69460375.27	71253239.2	76064917.83	80819805.4	71070496.33	99994431.16	104236990.9	91132830.23	98036782.79	71904666.79	81669914.38	81306149.63	73305927.08	76361330.59	76400773.47	81488427.5	100850541.5	76714899.76	85655067.29	79693115.83	99044565.42	83136153.81	73903037.7	81545660.68	76734179.1	73768306.94	78817154.46	93172369.87	98248432.31	83424274.42	80581516.01	94059997.52	90901541.03	84456801.27	82998210.44	80274711.13	78495928.15	80619531.59	89994127.89	80906377.05	90721263.56	78932384.94	89604554.28	79455142.31	82780906.67	77874322.12	79157018.45	78245115.2	78611111.8	85887087.78	85709249.97	86540841.81	88626367.56	87642116.73	87237939.81	80525823.69	82142793.81	78571664.33	78214517.03	77678209.31	84592001.46	77568873.06	78224441.81	79486775.51	78406355.98	77836027.06	84147929.07	79117948.92	81087656.27	77907684.69	78090214.47	84472710.82	84646064.2	78342936.63	78955661.38	78785119.5	78284675.54	84031295.53	82804741.66	79788207.56	81015452.23	78045189.53	84246703.23	78091194.42	84222413.48	78584102.35	78146941.85	78478230.42	83728442.53	79254349.09	81054064.06	79288526.7	81041132.73	84295408.67	84297108.21	84319806.6	83873347.75	78714590.22	78611980.7	83533358.01	82795844.21	80154123.12	80132987.07	80132757.31
